index,word,occurrence
284,brothers,18
1772,brought,142
3167,brow,17
305,brown,45
3468,browns,1
1607,brows,2
8334,bruises,2
614,brush,23
5356,brushed,18
6139,brushing,3
2753,brutal,3
4997,brutality,2
6912,brutally,2
3480,bubble,2
7138,bubbled,2
5941,bubbling,2
8824,buck,4
6833,bucked,1
5749,bucket,11
9066,bucketful,1
7485,buckets,2
4126,buckle,3
8946,buckled,2
1229,buckles,1
7149,buckskin,3
9364,budge,1
6357,buffeted,1
2634,bug,6
5066,bugs,3
2118,build,7
1747,building,19
5432,buildings,25
3401,built,7
8936,bulged,4
5889,bulging,5
1217,bulk,5
6014,bulky,1
5166,bumblebees,1
2396,bump,4
1523,bumped,4
4532,bumping,2
1933,bumps,11
6798,bumpy,1
5542,bunch,4
8019,bunches,2
9319,bunching,1
4735,bundle,16
8016,bundles,2
5064,buoyant,1
3386,burden,10
3989,burdened,4
9682,burdens,1
8834,bureaucracy,1
6228,burgeoned,1
5735,buried,7
3373,burn,19
2159,burned,39
1011,burning,33
5716,burns,2
4551,burnt,3
3114,burrowed,1
8336,burrs,1
545,burst,14
9270,bursts,1
4809,bury,5
3300,burying,2
9538,bush,1
5327,bushes,4
813,business,26
8579,businessman,1
264,busy,7
100,but,1578
6932,butcher,1
7989,butchering,1
7498,butter,2
7317,buttoned,1
7318,buttons,5
2976,buy,3
8282,buying,1
2498,buzzed,2
5165,buzzing,5
3,by,570
3832,bystander,2
8043,c,1
1815,cabbage,1
3858,cabinet,9
9086,cabinets,1
3274,cackled,1
1824,cakes,1
5292,caking,1
6634,caldus,9
7091,calduss,2
4383,calf,2
1683,call,47
1506,called,124
7315,caller,1
2003,calling,19
2011,callings,1
8228,callisidrin,7
550,calls,18
7087,callus,1
1292,calm,45
6222,calmed,4
3424,calming,5
1235,calmly,17
6561,calmness,4
7689,calthrop,6
309,came,469
4783,camp,24
8570,camped,1
5075,campfire,1
9446,camps,1
1054,can,415
4986,candle,2
5371,candles,5
7133,candra,2
2479,cane,7
2571,cannot,69
555,canopy,4
2567,cant,140
4861,canter,1
9451,canvas,2
4751,canyon,4
4225,capable,11
3854,capacity,5
8711,cape,2
8768,capital,3
7634,caps,1
8401,captain,13
8648,captains,2
8934,captive,1
8933,capture,2
